,Seattle-Beacon Hill,Seattle-Beacon Hill,Seattle-Beacon Hill,Seattle-Beacon Hill,Seattle-Beacon Hill,Seattle-Beacon Hill,Seattle-Beacon Hill,Seattle-Beacon Hill,Seattle-Beacon Hill,
Date/Time,Overall AQI,Description,Dominant Pollutant,NO2 AQI,O3 AQI,CO AQI,PM2.5 AQI,PM10 AQI,SO2 AQI,
"7/4/2025, 1:00:00 AM",23,Good,O3,2,23,1,21,12,,
"7/4/2025, 2:00:00 AM",18,Good,PM2.5,2,,1,18,10,0,
"7/4/2025, 3:00:00 AM",23,Good,PM2.5,1,,1,23,10,0,
"7/4/2025, 4:00:00 AM",22,Good,PM2.5,1,,1,22,10,0,
"7/4/2025, 5:00:00 AM",16,Good,PM2.5,,,1,16,8,0,
"7/4/2025, 6:00:00 AM",20,Good,PM2.5,1,,1,20,8,0,
"7/4/2025, 7:00:00 AM",40,Good,PM2.5,2,21,1,40,11,0,
"7/4/2025, 8:00:00 AM",46,Good,PM2.5,1,21,1,46,8,0,
"7/4/2025, 9:00:00 AM",25,Good,PM2.5,2,21,1,25,6,0,
"7/4/2025, 10:00:00 AM",35,Good,PM2.5,8,19,1,35,6,0,
"7/4/2025, 11:00:00 AM",27,Good,PM2.5,8,22,2,27,9,0,
"7/4/2025, 12:00:00 PM",32,Good,PM2.5,4,24,1,32,9,0,
"7/4/2025, 1:00:00 PM",26,Good,O3,1,26,1,19,9,0,
"7/4/2025, 2:00:00 PM",29,Good,O3,1,29,1,17,9,0,
"7/4/2025, 3:00:00 PM",30,Good,O3,1,30,1,19,8,0,
"7/4/2025, 4:00:00 PM",31,Good,O3,3,31,1,15,8,0,
"7/4/2025, 5:00:00 PM",32,Good,O3,0,32,1,18,9,0,
"7/4/2025, 6:00:00 PM",33,Good,O3,0,33,1,25,8,0,
"7/4/2025, 7:00:00 PM",35,Good,PM2.5,1,33,1,35,9,0,
"7/4/2025, 8:00:00 PM",38,Good,PM2.5,2,31,1,38,9,0,
"7/4/2025, 9:00:00 PM",49,Good,PM2.5,11,27,2,49,12,0,
"7/4/2025, 10:00:00 PM",166,Unhealthy,PM2.5,13,23,2,166,78,6,
"7/4/2025, 11:00:00 PM",141,Unhealthy for Sensitive Groups,PM2.5,6,25,2,141,63,3,
"7/5/2025, 12:00:00 AM",103,Unhealthy for Sensitive Groups,PM2.5,4,23,2,103,51,0,
"7/5/2025, 1:00:00 AM",,,,,,,,,,
"7/5/2025, 2:00:00 AM",,,,,,,,,,
"7/5/2025, 3:00:00 AM",,,,,,,,,,
"7/5/2025, 4:00:00 AM",,,,,,,,,,
"7/5/2025, 5:00:00 AM",,,,,,,,,,
"7/5/2025, 6:00:00 AM",,,,,,,,,,
"7/5/2025, 7:00:00 AM",,,,,,,,,,
"7/5/2025, 8:00:00 AM",,,,,,,,,,
"7/5/2025, 9:00:00 AM",,,,,,,,,,
"7/5/2025, 10:00:00 AM",,,,,,,,,,
"7/5/2025, 11:00:00 AM",,,,,,,,,,
"7/5/2025, 12:00:00 PM",,,,,,,,,,
"7/5/2025, 1:00:00 PM",,,,,,,,,,
"7/5/2025, 2:00:00 PM",,,,,,,,,,
"7/5/2025, 3:00:00 PM",,,,,,,,,,
"7/5/2025, 4:00:00 PM",,,,,,,,,,
"7/5/2025, 5:00:00 PM",,,,,,,,,,
"7/5/2025, 6:00:00 PM",,,,,,,,,,
"7/5/2025, 7:00:00 PM",,,,,,,,,,
"7/5/2025, 8:00:00 PM",,,,,,,,,,
"7/5/2025, 9:00:00 PM",,,,,,,,,,
"7/5/2025, 10:00:00 PM",,,,,,,,,,
"7/5/2025, 11:00:00 PM",,,,,,,,,,
