,Seattle-NE 127th St,Seattle-NE 127th St,Seattle-NE 127th St,Seattle-NE 127th St,
Date/Time,Overall AQI,Description,Dominant Pollutant,PM2.5 AQI,
"7/4/2025, 1:00:00 AM",15,Good,PM2.5,15,
"7/4/2025, 2:00:00 AM",15,Good,PM2.5,15,
"7/4/2025, 3:00:00 AM",16,Good,PM2.5,16,
"7/4/2025, 4:00:00 AM",16,Good,PM2.5,16,
"7/4/2025, 5:00:00 AM",18,Good,PM2.5,18,
"7/4/2025, 6:00:00 AM",18,Good,PM2.5,18,
"7/4/2025, 7:00:00 AM",17,Good,PM2.5,17,
"7/4/2025, 8:00:00 AM",13,Good,PM2.5,13,
"7/4/2025, 9:00:00 AM",11,Good,PM2.5,11,
"7/4/2025, 10:00:00 AM",10,Good,PM2.5,10,
"7/4/2025, 11:00:00 AM",9,Good,PM2.5,9,
"7/4/2025, 12:00:00 PM",9,Good,PM2.5,9,
"7/4/2025, 1:00:00 PM",9,Good,PM2.5,9,
"7/4/2025, 2:00:00 PM",9,Good,PM2.5,9,
"7/4/2025, 3:00:00 PM",9,Good,PM2.5,9,
"7/4/2025, 4:00:00 PM",9,Good,PM2.5,9,
"7/4/2025, 5:00:00 PM",11,Good,PM2.5,11,
"7/4/2025, 6:00:00 PM",11,Good,PM2.5,11,
"7/4/2025, 7:00:00 PM",13,Good,PM2.5,13,
"7/4/2025, 8:00:00 PM",14,Good,PM2.5,14,
"7/4/2025, 9:00:00 PM",22,Good,PM2.5,22,
"7/4/2025, 10:00:00 PM",33,Good,PM2.5,33,
"7/4/2025, 11:00:00 PM",46,Good,PM2.5,46,
"7/5/2025, 12:00:00 AM",56,Moderate,PM2.5,56,
"7/5/2025, 1:00:00 AM",,,,,
"7/5/2025, 2:00:00 AM",,,,,
"7/5/2025, 3:00:00 AM",,,,,
"7/5/2025, 4:00:00 AM",,,,,
"7/5/2025, 5:00:00 AM",,,,,
"7/5/2025, 6:00:00 AM",,,,,
"7/5/2025, 7:00:00 AM",,,,,
"7/5/2025, 8:00:00 AM",,,,,
"7/5/2025, 9:00:00 AM",,,,,
"7/5/2025, 10:00:00 AM",,,,,
"7/5/2025, 11:00:00 AM",,,,,
"7/5/2025, 12:00:00 PM",,,,,
"7/5/2025, 1:00:00 PM",,,,,
"7/5/2025, 2:00:00 PM",,,,,
"7/5/2025, 3:00:00 PM",,,,,
"7/5/2025, 4:00:00 PM",,,,,
"7/5/2025, 5:00:00 PM",,,,,
"7/5/2025, 6:00:00 PM",,,,,
"7/5/2025, 7:00:00 PM",,,,,
"7/5/2025, 8:00:00 PM",,,,,
"7/5/2025, 9:00:00 PM",,,,,
"7/5/2025, 10:00:00 PM",,,,,
"7/5/2025, 11:00:00 PM",,,,,
