time,Q
2025-07-04 22:20:00,207477.54547649386
2025-07-04 22:21:00,181097.97019278957
2025-07-04 22:22:00,154837.0700280483
2025-07-04 22:23:00,136064.4257103462
2025-07-04 22:24:00,122506.17638451849
2025-07-04 22:25:00,110650.11661696786
2025-07-04 22:26:00,93030.71820640724
2025-07-04 22:27:00,88642.05746570292
2025-07-04 22:28:00,95505.28665688563
2025-07-04 22:29:00,112159.96685031337
2025-07-04 22:30:00,131978.85708475945
2025-07-04 22:31:00,157505.60527078007
2025-07-04 22:32:00,195986.85865985713
2025-07-04 22:33:00,249346.78758364846
2025-07-04 22:34:00,335533.1530601502
2025-07-04 22:35:00,467065.11591810733
2025-07-04 22:36:00,650373.5565022515
2025-07-04 22:37:00,947716.1896941591
2025-07-04 22:38:00,1403059.7403046251
2025-07-04 22:39:00,1829453.6500745255
