sensor,window_start,window_end,angle_center_deg,y_m,mean_conc,mean_wind,n_samples
S1,2025-07-04 22:15:00,2025-07-04 22:35:00,-66.0,-466.59785439468703,0.3724999999999999,3.45,20
S1,2025-07-04 22:20:00,2025-07-04 22:40:00,-66.0,-466.59785439468703,0.3333333333333333,3.45,20
S1,2025-07-04 22:25:00,2025-07-04 22:45:00,-66.0,-466.59785439468703,0.6174999999999999,3.45,20
S1,2025-07-04 22:30:00,2025-07-04 22:50:00,-66.0,-466.59785439468703,2.388333333333333,3.45,20
S1,2025-07-04 22:35:00,2025-07-04 22:55:00,-66.0,-466.59785439468703,4.012499999999999,3.45,16
S1,2025-07-04 22:40:00,2025-07-04 23:00:00,-68.0,-473.56373298230534,8.694444444444445,3.0325,9
S1,2025-07-04 22:40:00,2025-07-04 23:00:00,-66.0,-466.59785439468703,5.322727272727271,3.45,11
S1,2025-07-04 22:45:00,2025-07-04 23:05:00,-68.0,-473.56373298230534,8.517857142857142,3.0208928571428575,14
S1,2025-07-04 22:45:00,2025-07-04 23:05:00,-66.0,-466.59785439468703,8.81111111111111,3.4500000000000006,6
S1,2025-07-04 22:50:00,2025-07-04 23:10:00,-68.0,-473.56373298230534,8.43421052631579,3.0153947368421057,19
S1,2025-07-04 22:55:00,2025-07-04 23:15:00,-68.0,-473.56373298230534,8.2,3.0,20
S1,2025-07-04 23:00:00,2025-07-04 23:20:00,-68.0,-473.56373298230534,8.2,3.0,20
S1,2025-07-04 23:05:00,2025-07-04 23:25:00,-68.0,-473.56373298230534,8.2,3.0,20
S1,2025-07-04 23:10:00,2025-07-04 23:30:00,-68.0,-473.56373298230534,8.2,3.0,20
S2,2025-07-04 22:15:00,2025-07-04 22:35:00,16.0,274.35285245658105,1.9449999999999996,3.45,20
S2,2025-07-04 22:20:00,2025-07-04 22:40:00,16.0,274.35285245658105,4.9125,3.45,20
S2,2025-07-04 22:25:00,2025-07-04 22:45:00,16.0,274.35285245658105,7.038333333333332,3.45,20
S2,2025-07-04 22:30:00,2025-07-04 22:50:00,16.0,274.35285245658105,9.8275,3.45,20
S2,2025-07-04 22:35:00,2025-07-04 22:55:00,16.0,274.35285245658105,12.481372549019609,3.4341176470588235,17
S2,2025-07-04 22:40:00,2025-07-04 23:00:00,14.0,240.79451035489413,17.464583333333334,3.0140625,8
S2,2025-07-04 22:40:00,2025-07-04 23:00:00,16.0,274.35285245658105,12.680555555555557,3.4275,12
S2,2025-07-04 22:45:00,2025-07-04 23:05:00,14.0,240.79451035489413,17.580769230769228,3.008653846153846,13
S2,2025-07-04 22:45:00,2025-07-04 23:05:00,16.0,274.35285245658105,15.3,3.411428571428572,7
S2,2025-07-04 22:50:00,2025-07-04 23:10:00,14.0,240.79451035489413,17.632407407407406,3.0062499999999996,18
S2,2025-07-04 22:55:00,2025-07-04 23:15:00,14.0,240.79451035489413,17.766666666666666,3.0,20
S2,2025-07-04 23:00:00,2025-07-04 23:20:00,14.0,240.79451035489413,17.766666666666666,3.0,20
S2,2025-07-04 23:05:00,2025-07-04 23:25:00,14.0,240.79451035489413,17.766666666666666,3.0,20
S2,2025-07-04 23:10:00,2025-07-04 23:30:00,14.0,240.79451035489413,17.766666666666666,3.0,20
S3,2025-07-04 22:15:00,2025-07-04 22:35:00,44.0,722.4920903789758,0.3241666666666667,3.45,20
S3,2025-07-04 22:20:00,2025-07-04 22:40:00,44.0,722.4920903789758,0.5083333333333334,3.45,20
S3,2025-07-04 22:25:00,2025-07-04 22:45:00,44.0,722.4920903789758,1.3050000000000002,3.45,20
S3,2025-07-04 22:30:00,2025-07-04 22:50:00,44.0,722.4920903789758,3.2350000000000003,3.45,20
S3,2025-07-04 22:35:00,2025-07-04 22:55:00,44.0,722.4920903789758,4.75625,3.45,16
S3,2025-07-04 22:40:00,2025-07-04 23:00:00,40.0,668.5429608877721,11.416666666666668,3.0,7
S3,2025-07-04 22:40:00,2025-07-04 23:00:00,44.0,722.4920903789758,6.316666666666666,3.45,11
S3,2025-07-04 22:45:00,2025-07-04 23:05:00,40.0,668.5429608877721,11.416666666666666,3.0,12
S3,2025-07-04 22:45:00,2025-07-04 23:05:00,44.0,722.4920903789758,8.666666666666666,3.4500000000000006,6
S3,2025-07-04 22:50:00,2025-07-04 23:10:00,40.0,668.5429608877721,11.416666666666668,3.0,17
S3,2025-07-04 22:55:00,2025-07-04 23:15:00,40.0,668.5429608877721,11.416666666666668,3.0,20
S3,2025-07-04 23:00:00,2025-07-04 23:20:00,40.0,668.5429608877721,11.416666666666668,3.0,20
S3,2025-07-04 23:05:00,2025-07-04 23:25:00,40.0,668.5429608877721,11.416666666666668,3.0,20
S3,2025-07-04 23:10:00,2025-07-04 23:30:00,40.0,668.5429608877721,11.416666666666668,3.0,20
